nb,structure,type,date
0.0,Senbuzz ,JOURNALISTE,2026-03-14
0.0,Narrateur sportif NS tv ,JOURNALISTE,2026-03-14
0.0,Dsports ,JOURNALISTE,2026-03-14
0.0,Le Dakarois TV,JOURNALISTE,2026-03-14
0.0,Free-lance ,JOURNALISTE,2026-03-15
0.0,Free-lance ,JOURNALISTE,2026-03-15
0.0,Groupe prestige Thiès ,JOURNALISTE,2026-03-15
0.0,Teranga sports ,JOURNALISTE,2026-03-15
0.0,Journaliste ,JOURNALISTE,2026-03-15
0.0,Agence de presse sénégalaise (APS),JOURNALISTE,2026-03-16
0.0,Univers info Tv ,JOURNALISTE,2026-03-16
0.0,SUDFM,JOURNALISTE,2026-03-16
0.0,SUDFM,JOURNALISTE,2026-03-16
0.0,SUDFM,JOURNALISTE,2026-03-16
0.0,L'Info,JOURNALISTE,2026-03-16
0.0,Le Soleil,JOURNALISTE,2026-03-16
0.0,Dsports,JOURNALISTE,2026-03-16
0.0,M4tv,JOURNALISTE,2026-03-17
0.0,Senfootball TV ,JOURNALISTE,2026-03-17
0.0,RADIO FUTURS MEDIA ,JOURNALISTE,2026-03-17
0.0,Groupe Walfadjri,JOURNALISTE,2026-03-17
0.0,Createur de contenu/ influenceur ,JOURNALISTE,2026-03-17
0.0,13.0tv,JOURNALISTE,2026-03-17
0.0,King Ouse & Ngary TV,JOURNALISTE,2026-03-17
0.0,Actu7.info,JOURNALISTE,2026-03-18
0.0,Senfootball TV,JOURNALISTE,2026-03-18
0.0,Senfootball TV,JOURNALISTE,2026-03-18
0.0,Galaxy Médias ,JOURNALISTE,2026-03-18
0.0,7TV Thiès ,JOURNALISTE,2026-03-18
0.0,TV5Monde / Deutsche Welle,JOURNALISTE,2026-03-18
0.0,King Ouse & Ngary TV,JOURNALISTE,2026-03-18
0.0,DAKAR TIMES,JOURNALISTE,2026-03-18
0.0,Afriradio Gambie,JOURNALISTE,2026-03-18
0.0,Football-221,JOURNALISTE,2026-03-18
0.0,2.0ATV,JOURNALISTE,2026-03-18
0.0,Dakar Plus ,JOURNALISTE,2026-03-18
